Team,Date,Opp,Result,Touchdown,Passes Completed,Passes attempted,Inc,Percentage of Passes Completed,Yards,TD.1,Interceptions,Percentage of Touchdowns Thrown when Attempting to Pass,Percentage of Times Intercepted when Attempting to Pass,Quarterback Rating,Times Sacked,Yds.1,Percentage of Time Sacked when Attempting to Pass: Times Sacked / (Passes Attempted + Times Sacked),Yards per Attempt,Net Yards Gained Per Attempt,Adjusted Yards gained per pass attempt,Adjusted Net Yards per Pass Attempt,Yards gained per pass completion (Passing Yards) / (Passes Completed)
MIA,18/09/2022,BAL,W 42-38,6,36,50,14,72,461,6,2,12,4,124.1,1,8,1.96,9.2,9.04,9.82,9.63,12.8
KAN,11/09/2022,ARI,W 44-21,5,30,39,9,76.9,360,5,0,12.8,0,144.2,0,0,0,9.2,9.23,11.79,11.79,12
CIN,18/12/2022,TAM,W 34-23,4,27,39,12,69.2,184,4,1,10.3,2.6,104.6,2,16,4.88,4.7,4.49,5.62,5.34,6.8
JAX,18/12/2022,DAL,W 40-34 (OT),4,27,42,15,64.3,311,4,1,9.5,2.4,109,1,7,2.33,7.4,7.23,8.24,8.05,11.5
BUF,17/12/2022,MIA,W 32-29,4,25,40,15,62.5,296,4,0,10,0,119.2,2,8,4.76,7.4,7.05,9.4,8.95,11.8
MIN,17/12/2022,IND,W 39-36 (OT),4,34,55,21,61.8,426,4,2,7.3,3.6,97.5,7,34,11.29,7.7,6.87,7.56,6.71,12.5
DEN,11/12/2022,KAN,L 28-34,4,27,44,17,61.4,214,4,2,9.1,4.5,89.5,6,49,12,4.9,4.28,4.64,4.08,7.9
SFO,21/11/2022,ARI,W 38-10,4,20,29,9,69,228,4,0,13.8,0,131.9,0,0,0,7.9,7.86,10.62,10.62,11.4
CIN,20/11/2022,PIT,W 37-30,4,24,39,15,61.5,346,4,2,10.3,5.1,104.1,2,9,4.88,8.9,8.44,8.62,8.2,14.4
KAN,13/11/2022,JAX,W 27-17,4,26,35,9,74.3,331,4,1,11.4,2.9,129.6,0,0,0,9.5,9.46,10.46,10.46,12.7
PHI,30/10/2022,PIT,W 35-13,4,20,30,10,66.7,290,4,0,13.3,0,140,3,18,9.09,9.7,8.79,12.33,11.21,14.5
